               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068216,            0.026397,            0.059992,             0.65859,             0.13006,             0.13115,            0.052282,            0.044955,            0.010328,            0.039661,            0.070046,           0.0033282,           0.0033282
                   1,            0.055653,            0.024001,            0.037921,             0.41397,             0.31611,              0.2535,             0.10812,            0.042087,            0.010147,            0.030088,            0.040013,           0.0066285,           0.0066285
                   2,             0.05578,            0.023934,            0.032791,             0.45202,             0.22462,             0.16727,            0.058421,            0.047617,            0.011389,             0.03481,           0.0099474,           0.0098959,           0.0098959
                   3,            0.055619,            0.024168,            0.032354,             0.37102,             0.24684,             0.18424,            0.065461,            0.044395,            0.011243,            0.036374,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053458,            0.023421,            0.027687,             0.50593,             0.32709,             0.30479,             0.12338,            0.042262,            0.010201,            0.028812,           0.0098515,           0.0098515,           0.0098515
                   5,            0.051743,            0.023118,            0.025509,             0.42242,              0.3791,             0.39481,              0.1693,            0.038293,           0.0098723,            0.020938,            0.009802,            0.009802,            0.009802
                   6,            0.050674,            0.022939,            0.023724,             0.63385,             0.44765,             0.43268,             0.19319,            0.036861,           0.0094897,            0.017767,           0.0097525,           0.0097525,           0.0097525
                   7,            0.050188,            0.022592,            0.022183,             0.60303,             0.42344,             0.42468,             0.19413,            0.037041,           0.0094601,            0.015611,            0.009703,            0.009703,            0.009703
                   8,            0.049553,            0.022519,            0.021496,             0.59173,             0.48635,             0.50557,             0.23775,            0.035667,           0.0090171,            0.014607,           0.0096535,           0.0096535,           0.0096535
                   9,             0.04865,            0.022163,            0.019299,             0.62108,             0.48992,             0.48711,             0.23306,            0.035362,           0.0089916,            0.014609,            0.009604,            0.009604,            0.009604
                  10,            0.047736,            0.022063,            0.019181,             0.48747,             0.50229,             0.50416,             0.23408,            0.035355,           0.0092363,            0.015715,           0.0095545,           0.0095545,           0.0095545
                  11,            0.047108,            0.021853,            0.018156,             0.65929,             0.48201,             0.50366,             0.24693,             0.03423,           0.0090365,            0.012885,            0.009505,            0.009505,            0.009505
                  12,            0.047013,            0.021845,            0.017587,             0.54606,             0.53298,             0.53546,             0.26758,            0.033457,           0.0087171,            0.013029,           0.0094555,           0.0094555,           0.0094555
                  13,            0.047024,            0.021723,            0.016973,             0.57511,             0.54556,             0.56093,             0.27575,            0.032709,            0.008675,            0.013664,            0.009406,            0.009406,            0.009406
                  14,            0.046462,            0.021539,            0.016499,             0.59459,             0.57394,             0.58486,               0.286,            0.032706,           0.0084254,            0.011561,           0.0093565,           0.0093565,           0.0093565
                  15,            0.046014,            0.021513,            0.016506,              0.6654,             0.55147,             0.58068,             0.29606,            0.032416,           0.0083655,            0.013241,            0.009307,            0.009307,            0.009307
                  16,            0.046057,            0.021385,            0.015643,             0.64889,             0.58005,             0.59937,              0.3055,            0.031919,           0.0082502,            0.011446,           0.0092575,           0.0092575,           0.0092575
                  17,             0.04545,            0.021218,            0.015311,             0.66248,             0.59557,             0.62156,             0.31556,            0.031414,           0.0082903,             0.01135,            0.009208,            0.009208,            0.009208
                  18,             0.04511,            0.020992,            0.015143,             0.65244,             0.59871,             0.61761,             0.32091,            0.031244,           0.0081677,            0.011551,           0.0091585,           0.0091585,           0.0091585
                  19,            0.045022,            0.020988,            0.014617,             0.63245,             0.61231,             0.63311,             0.32703,            0.031162,           0.0080533,            0.010951,            0.009109,            0.009109,            0.009109
                  20,            0.044714,            0.020972,            0.014468,             0.61333,             0.61501,             0.63185,             0.32852,            0.030841,           0.0080461,            0.010418,           0.0090595,           0.0090595,           0.0090595
                  21,            0.044729,             0.02099,            0.014151,             0.60252,             0.63299,             0.63071,             0.33295,            0.030419,           0.0080036,             0.01001,             0.00901,             0.00901,             0.00901
                  22,             0.04452,             0.02078,             0.01378,             0.67187,             0.62461,             0.65545,             0.34078,             0.02996,           0.0079601,            0.010139,           0.0089605,           0.0089605,           0.0089605
                  23,            0.044357,            0.020742,            0.013875,             0.64788,             0.63553,             0.65036,             0.34501,            0.029713,           0.0078473,            0.010589,            0.008911,            0.008911,            0.008911
                  24,            0.043884,            0.020804,            0.013327,             0.63905,             0.65415,             0.66142,             0.35429,            0.030013,           0.0077875,            0.010162,           0.0088615,           0.0088615,           0.0088615
                  25,            0.043563,            0.020467,            0.012726,             0.66567,             0.65205,              0.6762,             0.36021,             0.02935,           0.0076948,            0.010119,            0.008812,            0.008812,            0.008812
                  26,              0.0435,            0.020529,            0.012993,             0.65411,             0.66199,             0.67442,             0.36342,             0.02878,            0.007635,            0.010259,           0.0087625,           0.0087625,           0.0087625
                  27,            0.043562,            0.020475,            0.012562,             0.68335,             0.67661,             0.69237,             0.37089,            0.028844,           0.0075911,            0.010732,            0.008713,            0.008713,            0.008713
                  28,            0.043207,            0.020509,             0.01229,             0.67284,             0.68193,             0.69435,             0.37451,            0.028742,           0.0075622,            0.010429,           0.0086635,           0.0086635,           0.0086635
                  29,            0.043231,            0.020204,            0.012307,             0.66159,             0.69101,               0.695,             0.37626,            0.028501,           0.0075403,            0.009857,            0.008614,            0.008614,            0.008614
