               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072413,            0.026562,            0.058365,             0.47017,             0.10101,            0.070073,            0.020732,             0.04852,            0.011361,            0.039051,            0.070064,           0.0033262,           0.0033262
                   1,            0.058907,            0.024351,            0.036643,             0.55884,             0.22555,              0.2224,            0.083966,            0.045907,            0.010656,            0.025437,            0.040031,           0.0066266,           0.0066266
                   2,            0.058477,            0.024428,            0.031473,             0.28293,             0.14845,            0.098568,            0.035684,            0.051408,            0.012074,            0.032266,           0.0099653,           0.0098939,           0.0098939
                   3,            0.058828,            0.024487,             0.03214,             0.41459,              0.2741,             0.24837,            0.090599,             0.04345,            0.011354,            0.019469,           0.0098515,           0.0098515,           0.0098515
                   4,            0.055544,            0.024146,            0.028162,             0.62701,             0.29526,             0.26105,             0.10441,             0.04191,            0.011113,            0.018657,           0.0098515,           0.0098515,           0.0098515
                   5,            0.054453,            0.023785,              0.0253,             0.65367,             0.27577,             0.26533,            0.091748,            0.043671,            0.010877,            0.022289,            0.009802,            0.009802,            0.009802
                   6,            0.053538,            0.023533,            0.023163,             0.65334,             0.36987,              0.3465,             0.14017,            0.041022,            0.010365,            0.019402,           0.0097525,           0.0097525,           0.0097525
                   7,            0.052134,            0.023244,            0.021938,             0.58453,             0.34639,             0.35294,             0.15245,             0.03916,            0.010554,              0.0141,            0.009703,            0.009703,            0.009703
                   8,            0.051815,            0.023043,            0.020467,              0.6439,             0.34158,             0.37924,             0.16454,            0.040573,            0.010337,            0.012443,           0.0096535,           0.0096535,           0.0096535
                   9,            0.051036,            0.023076,             0.01994,              0.6441,             0.37416,             0.38789,             0.16764,            0.039367,            0.010187,            0.014041,            0.009604,            0.009604,            0.009604
                  10,            0.050261,            0.023083,             0.01935,             0.62935,               0.387,             0.43765,             0.18986,             0.03913,           0.0099485,            0.012061,           0.0095545,           0.0095545,           0.0095545
                  11,            0.050159,            0.022856,            0.018408,             0.60423,             0.42381,             0.42832,             0.19807,            0.037634,            0.009987,            0.012361,            0.009505,            0.009505,            0.009505
                  12,            0.049862,            0.022598,            0.017763,             0.54807,             0.41489,             0.43921,             0.19709,            0.036343,           0.0099355,            0.012198,           0.0094555,           0.0094555,           0.0094555
                  13,            0.049602,            0.022537,            0.016607,             0.64648,             0.40677,             0.41308,              0.1844,            0.037546,            0.010126,            0.011826,            0.009406,            0.009406,            0.009406
                  14,            0.049078,            0.022438,            0.016448,             0.63998,              0.4215,             0.46601,             0.22552,            0.036812,           0.0097649,            0.010905,           0.0093565,           0.0093565,           0.0093565
                  15,             0.04857,            0.022533,            0.015273,             0.62297,             0.43483,             0.45142,             0.21032,            0.036144,           0.0098474,           0.0082227,            0.009307,            0.009307,            0.009307
                  16,            0.048553,            0.022219,            0.014982,             0.57653,             0.44663,             0.46561,             0.21681,            0.036062,           0.0096749,           0.0086158,           0.0092575,           0.0092575,           0.0092575
                  17,            0.047544,            0.022348,            0.014848,              0.5837,             0.45572,             0.46141,             0.21703,            0.034977,            0.009631,           0.0089827,            0.009208,            0.009208,            0.009208
                  18,            0.048046,            0.022051,            0.014183,             0.64736,             0.43937,             0.47442,             0.22392,              0.0365,           0.0096174,           0.0086448,           0.0091585,           0.0091585,           0.0091585
                  19,            0.047418,            0.021984,            0.014327,             0.55201,             0.46612,             0.49827,             0.23634,              0.0345,           0.0094315,            0.010008,            0.009109,            0.009109,            0.009109
                  20,            0.047511,            0.022066,            0.014218,             0.63435,             0.48383,             0.51549,             0.24329,            0.034666,           0.0093055,           0.0094091,           0.0090595,           0.0090595,           0.0090595
                  21,            0.046788,            0.021961,            0.013971,             0.58627,             0.48177,             0.53075,             0.26014,            0.034017,           0.0093996,           0.0073685,             0.00901,             0.00901,             0.00901
                  22,            0.047066,            0.021793,            0.013455,             0.60398,             0.49157,             0.59391,             0.31417,            0.034024,           0.0092607,            0.006841,           0.0089605,           0.0089605,           0.0089605
                  23,            0.046541,            0.021638,            0.012428,             0.63896,             0.50662,              0.5385,              0.2711,             0.03338,           0.0090951,           0.0077512,            0.008911,            0.008911,            0.008911
                  24,            0.046335,            0.021329,            0.012489,             0.61359,             0.51473,             0.56237,              0.2803,            0.033819,           0.0093081,           0.0079658,           0.0088615,           0.0088615,           0.0088615
                  25,            0.046294,            0.021396,            0.012176,             0.64655,             0.56283,             0.63262,             0.31711,            0.032598,           0.0090011,           0.0060983,            0.008812,            0.008812,            0.008812
                  26,            0.046044,            0.021428,            0.012071,             0.68534,             0.53292,             0.58135,             0.28987,            0.032778,           0.0089918,           0.0064498,           0.0087625,           0.0087625,           0.0087625
                  27,            0.045908,            0.021422,             0.01222,             0.65109,             0.51922,             0.57888,             0.29109,            0.032077,           0.0089076,           0.0047513,            0.008713,            0.008713,            0.008713
                  28,            0.045771,             0.02133,            0.011713,             0.62744,             0.54679,             0.59321,             0.29287,            0.031907,            0.008894,           0.0047132,           0.0086635,           0.0086635,           0.0086635
                  29,            0.045562,            0.021294,            0.011336,             0.63018,             0.54948,             0.57923,             0.29602,            0.031601,           0.0088995,           0.0040925,            0.008614,            0.008614,            0.008614
                  30,            0.045248,            0.021302,            0.011186,             0.62722,              0.6481,             0.59919,             0.30406,              0.0315,           0.0087042,           0.0047723,           0.0085645,           0.0085645,           0.0085645
                  31,             0.04517,            0.021002,            0.010875,             0.60435,             0.57755,             0.60151,             0.31187,             0.03184,           0.0087151,           0.0054207,            0.008515,            0.008515,            0.008515
                  32,            0.045004,            0.020985,            0.010515,             0.64914,             0.57529,             0.62371,             0.32587,            0.031315,           0.0085477,           0.0034493,           0.0084655,           0.0084655,           0.0084655
                  33,            0.044899,            0.020909,            0.010886,             0.67951,             0.64376,             0.66082,             0.34406,            0.031147,           0.0086026,           0.0037413,            0.008416,            0.008416,            0.008416
                  34,             0.04453,            0.020768,            0.010247,             0.62949,             0.58793,             0.62677,             0.32949,            0.030769,           0.0085139,           0.0033645,           0.0083665,           0.0083665,           0.0083665
                  35,            0.044687,            0.020775,            0.010184,              0.6489,             0.67189,             0.65242,             0.34691,            0.030608,           0.0084888,           0.0034539,            0.008317,            0.008317,            0.008317
                  36,             0.04409,            0.020825,            0.010321,             0.68031,             0.66249,             0.75625,             0.42265,            0.030479,           0.0084227,           0.0048846,           0.0082675,           0.0082675,           0.0082675
                  37,            0.044021,            0.020611,           0.0098115,             0.62483,             0.64781,             0.64082,             0.34189,            0.030153,           0.0084624,           0.0036268,            0.008218,            0.008218,            0.008218
                  38,            0.044269,            0.020687,           0.0099879,             0.65356,             0.67786,             0.65646,             0.35072,            0.030107,           0.0084793,           0.0033609,           0.0081685,           0.0081685,           0.0081685
                  39,            0.044132,            0.020794,           0.0093679,             0.66963,             0.68537,             0.69431,             0.39303,            0.029653,            0.008361,           0.0039793,            0.008119,            0.008119,            0.008119
                  40,            0.043837,            0.020434,           0.0091936,             0.73441,             0.65098,             0.70624,             0.40091,             0.02952,           0.0083914,           0.0037596,           0.0080695,           0.0080695,           0.0080695
                  41,            0.043894,            0.020616,           0.0095394,             0.70329,             0.70068,             0.70687,             0.38384,             0.02919,           0.0082492,           0.0043188,             0.00802,             0.00802,             0.00802
                  42,            0.043564,            0.020401,           0.0091277,             0.68532,             0.69168,              0.6714,              0.3698,            0.029346,           0.0082189,           0.0040637,           0.0079705,           0.0079705,           0.0079705
                  43,            0.043816,            0.020497,           0.0094341,             0.63993,             0.62462,             0.65374,             0.35643,            0.029055,           0.0082019,           0.0049328,            0.007921,            0.007921,            0.007921
                  44,             0.04343,            0.020519,           0.0092549,             0.66478,             0.70319,             0.66304,             0.35932,            0.029081,           0.0082004,           0.0045507,           0.0078715,           0.0078715,           0.0078715
                  45,            0.043422,            0.020369,           0.0092134,             0.68641,             0.70274,             0.68412,             0.36816,            0.029212,           0.0081689,           0.0037561,            0.007822,            0.007822,            0.007822
                  46,            0.043151,            0.020349,           0.0087951,             0.69651,             0.60445,             0.67657,             0.36631,            0.029153,           0.0081253,           0.0034921,           0.0077725,           0.0077725,           0.0077725
                  47,            0.043127,            0.020333,           0.0088012,             0.66965,             0.66222,             0.68958,             0.37912,            0.029018,           0.0081163,           0.0032667,            0.007723,            0.007723,            0.007723
                  48,            0.042939,            0.020264,           0.0084901,             0.69009,             0.69623,             0.68352,             0.37717,            0.028759,            0.008112,           0.0034392,           0.0076735,           0.0076735,           0.0076735
                  49,            0.043013,            0.020151,           0.0087937,             0.67206,              0.6671,             0.69391,             0.37776,            0.028533,             0.00808,           0.0036761,            0.007624,            0.007624,            0.007624
                  50,            0.042775,            0.020201,           0.0084506,             0.66894,             0.65508,             0.69279,             0.38358,             0.02822,           0.0080469,           0.0035292,           0.0075745,           0.0075745,           0.0075745
                  51,            0.042692,             0.02021,           0.0084439,              0.6568,              0.6599,             0.68999,             0.39131,            0.028186,           0.0080169,           0.0033985,            0.007525,            0.007525,            0.007525
                  52,            0.042661,            0.020066,           0.0086203,              0.6865,             0.74313,             0.71402,             0.40775,            0.028099,           0.0079978,           0.0028975,           0.0074755,           0.0074755,           0.0074755
                  53,              0.0426,            0.019953,           0.0080878,             0.69107,             0.72182,             0.70292,             0.39774,            0.027886,           0.0079581,           0.0032061,            0.007426,            0.007426,            0.007426
                  54,            0.042296,            0.019996,           0.0081519,             0.70579,             0.72921,             0.70923,              0.4006,             0.02771,           0.0079247,           0.0034666,           0.0073765,           0.0073765,           0.0073765
                  55,            0.042275,            0.019941,            0.007906,             0.70843,             0.72985,             0.71569,             0.40319,            0.027652,           0.0078982,           0.0033875,            0.007327,            0.007327,            0.007327
                  56,            0.042317,            0.019874,           0.0080794,             0.70448,             0.75544,             0.73079,             0.41832,            0.027605,           0.0078636,            0.003295,           0.0072775,           0.0072775,           0.0072775
                  57,            0.042216,            0.019982,           0.0080572,             0.69662,             0.76205,             0.73737,              0.4222,             0.02747,           0.0078525,           0.0030987,            0.007228,            0.007228,            0.007228
                  58,            0.042176,            0.019623,           0.0080788,             0.69925,             0.76426,             0.73953,             0.42521,            0.027357,           0.0078286,           0.0032128,           0.0071785,           0.0071785,           0.0071785
                  59,            0.041948,            0.020041,           0.0077566,              0.6986,             0.76356,             0.73131,             0.41464,            0.027241,           0.0078126,           0.0033161,            0.007129,            0.007129,            0.007129
                  60,            0.041612,            0.019745,           0.0075884,             0.70933,             0.76383,             0.72947,             0.41194,            0.027109,           0.0077978,           0.0034101,           0.0070795,           0.0070795,           0.0070795
                  61,            0.041772,            0.019431,           0.0073936,             0.70979,             0.76588,             0.73529,             0.42122,            0.027008,           0.0077712,           0.0035451,             0.00703,             0.00703,             0.00703
                  62,            0.041323,            0.019624,           0.0072341,             0.73957,              0.7398,             0.75077,             0.43412,            0.026965,           0.0077536,           0.0036618,           0.0069805,           0.0069805,           0.0069805
                  63,            0.041543,            0.019475,           0.0073095,             0.70696,               0.767,             0.73844,             0.41512,            0.026942,           0.0077374,           0.0035862,            0.006931,            0.006931,            0.006931
                  64,            0.041419,            0.019477,           0.0074377,             0.71081,             0.76381,             0.75203,              0.4288,            0.026883,           0.0077206,           0.0034786,           0.0068815,           0.0068815,           0.0068815
                  65,            0.041292,            0.019533,           0.0072488,             0.71611,             0.75927,             0.74054,              0.4187,            0.026796,           0.0077013,           0.0034561,            0.006832,            0.006832,            0.006832
                  66,            0.041189,            0.019532,           0.0074557,             0.71772,             0.75838,             0.75436,             0.44283,            0.026738,           0.0076907,           0.0033755,           0.0067825,           0.0067825,           0.0067825
                  67,            0.040991,            0.019309,            0.007653,             0.70802,             0.76514,             0.79272,             0.47764,            0.026698,           0.0076792,           0.0033333,            0.006733,            0.006733,            0.006733
                  68,            0.041187,            0.019425,           0.0071764,             0.71524,             0.76262,             0.79473,             0.47975,            0.026626,           0.0076631,           0.0032567,           0.0066835,           0.0066835,           0.0066835
                  69,            0.040977,            0.019402,           0.0070713,              0.7191,             0.76549,             0.79666,             0.48133,            0.026557,           0.0076442,           0.0032979,            0.006634,            0.006634,            0.006634
                  70,            0.041138,              0.0194,           0.0070589,             0.72564,             0.76217,             0.79777,              0.4817,            0.026495,           0.0076288,           0.0033019,           0.0065845,           0.0065845,           0.0065845
                  71,            0.040849,            0.019456,           0.0072935,             0.73077,             0.76355,             0.79929,             0.48519,            0.026428,           0.0076141,           0.0032495,            0.006535,            0.006535,            0.006535
                  72,            0.040772,            0.019436,           0.0069064,             0.73529,             0.75808,             0.76038,             0.45133,            0.026404,           0.0076024,           0.0032352,           0.0064855,           0.0064855,           0.0064855
                  73,            0.040687,            0.019165,           0.0070347,             0.74789,             0.75444,             0.77506,             0.46471,            0.026368,           0.0075879,           0.0032263,            0.006436,            0.006436,            0.006436
