               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07002,            0.026569,              0.0596,             0.45702,             0.14056,               0.113,            0.049805,            0.044431,             0.01114,            0.038423,            0.070051,           0.0033276,           0.0033276
                   1,            0.056205,            0.024059,            0.036733,             0.41893,             0.26931,             0.21714,            0.091888,            0.040966,            0.010531,            0.028218,            0.040018,            0.006628,            0.006628
                   2,            0.055926,            0.023801,            0.031236,             0.38449,             0.22108,             0.15605,            0.059005,            0.047563,            0.010845,            0.034814,           0.0099524,           0.0098953,           0.0098953
                   3,            0.056165,            0.024239,            0.031297,             0.47824,             0.26183,             0.23117,            0.095469,            0.041674,            0.010604,            0.024336,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053623,            0.023691,            0.026963,             0.49645,             0.37285,             0.33279,             0.14237,            0.039506,            0.010167,            0.021447,           0.0098515,           0.0098515,           0.0098515
                   5,            0.052294,            0.023346,            0.024497,             0.57851,             0.40014,             0.40036,             0.18928,            0.037798,           0.0095302,            0.018562,            0.009802,            0.009802,            0.009802
                   6,             0.05093,            0.022886,             0.02287,             0.55635,             0.40655,             0.39256,              0.1848,            0.036957,           0.0097096,            0.017911,           0.0097525,           0.0097525,           0.0097525
                   7,             0.05001,            0.022614,            0.021124,             0.58181,               0.386,             0.38751,             0.18455,            0.036696,           0.0095572,             0.01644,            0.009703,            0.009703,            0.009703
                   8,            0.049527,             0.02245,            0.019464,             0.56035,             0.42916,             0.43513,             0.20419,             0.03636,           0.0095037,            0.017237,           0.0096535,           0.0096535,           0.0096535
                   9,            0.048972,            0.022325,            0.018752,             0.52431,             0.49546,             0.47034,             0.22254,            0.034997,           0.0091539,            0.014418,            0.009604,            0.009604,            0.009604
